Make,Fuel,,Engine Cylinders,ActualAverageCityMPG,ActualAverageHighwayMPG,Average City MPG,Average Highway MPG,Number of Records
Roush Performance,Gasoline,,8,14.0,23.0,14.0,23.0,1.0
smart,Gasoline,,3,32.0,39.0,32.0,39.0,1.0
Subaru,Gasoline,,4,23.0,30.0,46.0,60.0,2.0
,,,6,20.0,28.0,20.0,28.0,1.0
Tesla,Electricity,,0,92.0,98.0,92.0,98.0,1.0
Toyota,Gasoline,,4,27.5,32.5,55.0,65.0,2.0
,,,6,20.0,25.0,20.0,25.0,1.0
,,,8,13.0,18.0,13.0,18.0,1.0
Volkswagen,Gasoline,,4,22.5,30.5,45.0,61.0,2.0
,,,6,18.0,25.0,18.0,25.0,1.0
Volvo,Gasoline,,4,22.5,30.5,45.0,61.0,2.0
